"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27481","windowHandling test","webkit","Thu Oct 09 14:18:58 IST 2025","passed","Thu Oct 09 14:19:25 IST 2025","","windowHandling.spec.js","",""
"","30013","automate amazon test","firefox","Thu Oct 09 14:17:06 IST 2025","broken","Thu Oct 09 14:17:36 IST 2025","","amazonAutomate.spec.js","",""
"","2924","dynamicXpath test","firefox","Thu Oct 09 14:17:03 IST 2025","passed","Thu Oct 09 14:17:06 IST 2025","","alertmanage.spec.js","",""
"","9681","launch browser","chromium","Thu Oct 09 14:16:36 IST 2025","passed","Thu Oct 09 14:16:46 IST 2025","","launch.spec.js","",""
"","30084","dynamicXpath test","firefox","Thu Oct 09 14:17:23 IST 2025","broken","Thu Oct 09 14:17:53 IST 2025","","dynamicxpath.spec.js","",""
"","2774","has title","firefox","Thu Oct 09 14:17:38 IST 2025","passed","Thu Oct 09 14:17:41 IST 2025","","example.spec.js","",""
"","30222","dynamicXpath test","chromium","Thu Oct 09 14:16:20 IST 2025","broken","Thu Oct 09 14:16:50 IST 2025","","dynamicxpath.spec.js","",""
"","5641","adactin pom","webkit","Thu Oct 09 14:18:13 IST 2025","passed","Thu Oct 09 14:18:18 IST 2025","","adactin.spec.js","",""
"","1815","has title","chromium","Thu Oct 09 14:16:30 IST 2025","passed","Thu Oct 09 14:16:32 IST 2025","","example.spec.js","",""
"","4226","dynamicXpath test","webkit","Thu Oct 09 14:18:19 IST 2025","passed","Thu Oct 09 14:18:23 IST 2025","","alertmanage.spec.js","",""
"","1439","get started link","chromium","Thu Oct 09 14:16:32 IST 2025","passed","Thu Oct 09 14:16:34 IST 2025","","example.spec.js","",""
"","2455","get started link","firefox","Thu Oct 09 14:17:41 IST 2025","passed","Thu Oct 09 14:17:44 IST 2025","","example.spec.js","",""
"","30013","windowHandling test","chromium","Thu Oct 09 14:16:49 IST 2025","broken","Thu Oct 09 14:17:19 IST 2025","","windowHandling.spec.js","",""
"","8938","dynamicXpath test","chromium","Thu Oct 09 14:16:11 IST 2025","passed","Thu Oct 09 14:16:20 IST 2025","","alertmanage.spec.js","",""
"","1571","has title","webkit","Thu Oct 09 14:18:39 IST 2025","passed","Thu Oct 09 14:18:41 IST 2025","","example.spec.js","",""
"","1540","webtable test automate","firefox","Thu Oct 09 14:17:55 IST 2025","passed","Thu Oct 09 14:17:57 IST 2025","","webtable.spec.js","",""
"","30429","dynamicXpath test","webkit","Thu Oct 09 14:18:23 IST 2025","broken","Thu Oct 09 14:18:54 IST 2025","","dynamicxpath.spec.js","",""
"","3039","webtable test automate","chromium","Thu Oct 09 14:16:46 IST 2025","passed","Thu Oct 09 14:16:49 IST 2025","","webtable.spec.js","",""
"","12925","windowHandling test","firefox","Thu Oct 09 14:17:57 IST 2025","passed","Thu Oct 09 14:18:10 IST 2025","","windowHandling.spec.js","",""
"","13079","automate amazon test","webkit","Thu Oct 09 14:18:20 IST 2025","failed","Thu Oct 09 14:18:33 IST 2025","","amazonAutomate.spec.js","",""
"","12976","launch browser","webkit","Thu Oct 09 14:18:45 IST 2025","passed","Thu Oct 09 14:18:58 IST 2025","","launch.spec.js","",""
"","2466","webtable test automate","webkit","Thu Oct 09 14:18:55 IST 2025","passed","Thu Oct 09 14:18:58 IST 2025","","webtable.spec.js","",""
"","2430","dynamicXpath test","chromium","Thu Oct 09 14:16:34 IST 2025","passed","Thu Oct 09 14:16:36 IST 2025","","frame.spec.js","",""
"","6640","automate amazon test","chromium","Thu Oct 09 14:16:20 IST 2025","failed","Thu Oct 09 14:16:27 IST 2025","","amazonAutomate.spec.js","",""
"","8968","adactin pom","chromium","Thu Oct 09 14:16:11 IST 2025","passed","Thu Oct 09 14:16:20 IST 2025","","adactin.spec.js","",""
"","1771","get started link","webkit","Thu Oct 09 14:18:41 IST 2025","passed","Thu Oct 09 14:18:43 IST 2025","","example.spec.js","",""
"","30079","launch browser","firefox","Thu Oct 09 14:17:47 IST 2025","broken","Thu Oct 09 14:18:17 IST 2025","","launch.spec.js","",""
"","8169","adactin pom","firefox","Thu Oct 09 14:16:53 IST 2025","passed","Thu Oct 09 14:17:01 IST 2025","","adactin.spec.js","",""
"","2755","dynamicXpath test","firefox","Thu Oct 09 14:17:44 IST 2025","passed","Thu Oct 09 14:17:47 IST 2025","","frame.spec.js","",""
"","2543","dynamicXpath test","webkit","Thu Oct 09 14:18:43 IST 2025","passed","Thu Oct 09 14:18:45 IST 2025","","frame.spec.js","",""
